DETAIL
snapshot_date,account_name,asset_name,bucket,value,tax_treatment,owner_tag,source
2026-05-13,Plaid 401k,ACHN,Equity,2.11,tax-advantaged,household,plaid
2026-05-13,Plaid 401k,BTC,Crypto,115.57268,tax-advantaged,household,plaid
2026-05-13,Plaid 401k,CAMYX,Equity,1855.875,tax-advantaged,household,plaid
2026-05-13,Plaid 401k,DBLTX,Equity,20.84,tax-advantaged,household,plaid
2026-05-13,Plaid 401k,MIPTX,Equity,636.309,tax-advantaged,household,plaid
2026-05-13,Plaid 401k,NHX105509,Equity,1373.6865,tax-advantaged,household,plaid
2026-05-13,Plaid 401k,QDQ13y1Ezxt51QbDb6A8cjk9EK978our9NaAM,Bond,948.08,tax-advantaged,household,plaid
2026-05-13,Plaid 401k,SBSI,Equity,7397.49,tax-advantaged,household,plaid
2026-05-13,Plaid 401k,d6ePmbPxgWCWmMVv66q9iPV94n91vMtov5Are,Cash,12345.67,tax-advantaged,household,plaid
2026-05-13,Plaid 401k,lngLy3Le7vflLnAzKqwZs19l6bl8P5H1jG9Zz,Equity,430.0,tax-advantaged,household,plaid
2026-05-13,Plaid CD,cash,Cash,1000.0,taxable,household,plaid
2026-05-13,Plaid Cash Management,cash,Cash,12060.0,taxable,household,plaid
2026-05-13,Plaid Checking,cash,Cash,110.0,taxable,household,plaid
2026-05-13,Plaid HSA,cash,Cash,6009.0,tax-advantaged,household,plaid
2026-05-13,Plaid IRA,EWZ,Equity,210.75,tax-advantaged,household,plaid
2026-05-13,Plaid IRA,NFLX180201C00355000,,110.0,tax-advantaged,household,plaid
2026-05-13,Plaid IRA,d6ePmbPxgWCWmMVv66q9iPV94n91vMtov5Are,Cash,0.01,tax-advantaged,household,plaid
2026-05-13,Plaid Money Market,cash,Cash,43200.0,taxable,household,plaid
2026-05-13,Plaid Saving,cash,Cash,210.0,taxable,household,plaid

SUMMARY
bucket,tax_treatment,owner_tag,total_value
Bond,tax-advantaged,household,948.08
Cash,tax-advantaged,household,18354.68
Cash,taxable,household,56580.0
Crypto,tax-advantaged,household,115.57268
Equity,tax-advantaged,household,11927.0605
